schema_version	namespace	profile	master	order_index	position	predecessor	method	candidate_count	attempted_paths	dropped_paths	generation_elapsed_s	generation_overage	ledger_charge_total_s	actual_replay_total_s	actual_replay_overage	replay_coverage_numerator	replay_coverage_denominator	raw	invalid_attribution_count	duplicate_identity_count	score_identity_failure_count	timeout_count	incomplete_count	exception_count	exception_id	cell_valid	transition_sequence_json
hcms24-method-cell-v1	primary	steady_linear_new	307	2	0	none	fixed24_no_salvage_calibrated	2	4	2	1.9182553619612008	False	1.4822883486340288	1.1393970111384988	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	307	2	1	fixed24_no_salvage_calibrated	hcms_scalar	4	4	0	1.9170877110445872	False	1.6766606462537312	1.9582417778437957	False	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	2	2	hcms_scalar	fixed8_calibrated	5	11	6	1.9904211909743026	False	1.9391259366238955	1.057466433965601	False	5	5	538.0	0	0	0	0	0	0		True	[8,8,8,8,1]
hcms24-method-cell-v1	primary	steady_linear_new	307	2	3	fixed8_calibrated	hcms_calibrated	3	5	2	1.974865418043919	False	1.8805840193817858	1.3435167588759214	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	3	0	none	hcms_scalar	4	4	0	1.9287794110132381	False	1.5951009942917154	1.8859585248865187	False	0	4	1176.0	0	0	0	0	0	0		True	[24,24,24,1]
hcms24-method-cell-v1	primary	steady_linear_new	307	3	1	hcms_scalar	hcms_calibrated	3	6	3	1.9795028269290924	False	1.8947716854745522	1.3653527579735965	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	3	2	hcms_calibrated	fixed24_no_salvage_calibrated	2	4	2	1.9078006769996136	False	1.5580790503008757	1.1230832800501958	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	307	3	3	fixed24_no_salvage_calibrated	fixed8_calibrated	5	10	5	1.961411345982924	False	1.9004834767838474	1.2475534291006625	False	5	5	650.0	0	0	0	0	0	0		True	[8,8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	101	0	0	none	hcms_calibrated	3	11	8	1.9665848050499335	False	1.640350977977505	0.7866807209793478	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	0	1	hcms_calibrated	fixed8_calibrated	4	13	9	2.0217338879592717	True	1.9457167849759571	0.6373927369713783	False	4	4	520.0	0	0	0	0	0	0		False	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	101	0	2	fixed8_calibrated	hcms_scalar	8	8	0	1.9451654470758513	False	1.4035010792315008	2.259528874885291	True	0	8	2720.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24,1]
hcms24-method-cell-v1	primary	reset_dominant_new	101	0	3	hcms_scalar	fixed24_no_salvage_calibrated	3	8	5	1.9114421328995377	False	1.6897411801619455	0.7640292479190975	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	1	0	none	fixed8_calibrated	4	13	9	1.9801317419623956	False	1.9023608922725543	0.6610720730386674	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	101	1	1	fixed8_calibrated	fixed24_no_salvage_calibrated	3	8	5	1.9023054069839418	False	1.7155917819764	0.776211328106001	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
