master_index	master_digest_hex	weighting	saturation	adaptive_score	global_score	gain_numerator	gain_denominator	gain_percent_fixed_12	clears_5_percent	global_length
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	balanced_cliff_presence	200000	21245984	15819216	5426768	15819216	34.304911191553	true	16
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	no_cliff_only	200000	3178360	2990028	188332	2990028	6.298670112788	true	32
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	cliff_only	200000	8532544	6190676	2341868	6190676	37.828954382365	true	8
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	equal	1000000000000000000	12115434	8333642	3781792	8333642	45.379823131351	true	16
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	balanced_cliff_presence	1000000000000000000	22381254	16498306	5882948	16498306	35.657891179858	true	24
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	no_cliff_only	1000000000000000000	3421940	3233608	188332	3233608	5.824206273611	true	32
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	cliff_only	1000000000000000000	8693494	6190676	2502818	6190676	40.428832004776	true	8
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	equal	200000	11729010	8318998	3410012	8318998	40.990657769121	true	16
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	balanced_cliff_presence	200000	21429300	16190980	5238320	16190980	32.353322652489	true	16
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	no_cliff_only	200000	3233430	2990408	243022	2990408	8.126717156990	true	32
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	cliff_only	200000	8495580	6184892	2310688	6184892	37.360199660722	true	8
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	equal	1000000000000000000	11980804	8335936	3644868	8335936	43.724759882993	true	16
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	balanced_cliff_presence	1000000000000000000	22427656	16263930	6163726	16263930	37.898134091822	true	24
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	no_cliff_only	1000000000000000000	3482284	3239262	243022	3239262	7.502387889587	true	32
7	73002374667ef92d7cf4897ee730f6a4b4f5058990c35975393d505cc39ccf74	cliff_only	1000000000000000000	8498520	6184892	2313628	6184892	37.407734848078	true	8
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	equal	200000	11638328	8426970	3211358	8426970	38.108098165770	true	16
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	balanced_cliff_presence	200000	21324602	16342494	4982108	16342494	30.485603972074	true	16
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	no_cliff_only	200000	3228758	3026712	202046	3026712	6.675428649967	true	32
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	cliff_only	200000	8409570	6001982	2407588	6001982	40.113215934336	true	8
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	equal	1000000000000000000	12058644	8441876	3616768	8441876	42.843178459385	true	16
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	balanced_cliff_presence	1000000000000000000	22555272	16770192	5785080	16770192	34.496206125726	true	24
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	no_cliff_only	1000000000000000000	3498876	3296830	202046	3296830	6.128493128247	true	32
8	2a28a7c7491c89698d1e2bdcee0f8fa95e1461f36c34f8b96f05fc4cecae1f4b	cliff_only	1000000000000000000	8559768	6001982	2557786	6001982	42.615689283973	true	8
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	equal	200000	12516664	8891472	3625192	8891472	40.771561784146	true	16
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	balanced_cliff_presence	200000	22881142	17459082	5422060	17459082	31.055813816557	true	16
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	no_cliff_only	200000	3454826	3214188	240638	3214188	7.486743152547	true	32
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	cliff_only	200000	9061838	6628932	2432906	6628932	36.701326850238	true	8
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	equal	1000000000000000000	13344544	9139236	4205308	9139236	46.013780582972	true	16
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	balanced_cliff_presence	1000000000000000000	25084150	18233442	6850708	18233442	37.572214834698	true	24
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	no_cliff_only	1000000000000000000	3913202	3672564	240638	3672564	6.552316038604	true	32
9	cb2c911f0e991f21f3e03cadbaa6baba53873028a2fbc699f8abdcc38fc6b591	cliff_only	1000000000000000000	9431342	6628932	2802410	6628932	42.275437430947	true	8
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	equal	200000	12193834	8625120	3568714	8625120	41.375818539336	true	16
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	balanced_cliff_presence	200000	22416544	16993270	5423274	16993270	31.914246051525	true	24
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	no_cliff_only	200000	3407570	3219652	187918	3219652	5.836593520045	true	32
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	cliff_only	200000	8786264	6335288	2450976	6335288	38.687680812617	true	8
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	equal	1000000000000000000	12920098	8785072	4135026	8785072	47.068777580878	true	16
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	balanced_cliff_presence	1000000000000000000	24631072	18375318	6255754	18375318	34.044330552538	true	24
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	no_cliff_only	1000000000000000000	3903658	3715740	187918	3715740	5.057350621949	true	32
10	cda9b097867c4c2e925df6b03c6a36291294cf91d48d3e94bf8a671242da45a7	cliff_only	1000000000000000000	9016440	6335288	2681152	6335288	42.320917375816	true	8
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	equal	200000	12018880	8624210	3394670	8624210	39.362098093622	true	16
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	balanced_cliff_presence	200000	21710734	16977026	4733708	16977026	27.883022621277	true	16
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	no_cliff_only	200000	3230618	3012510	218108	3012510	7.240075551616	true	32
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	cliff_only	200000	8788262	6110482	2677780	6110482	43.822729532629	true	8
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	equal	1000000000000000000	12838382	8788820	4049562	8788820	46.076287829310	true	16
