profile	master	replicate	arm	phase	cost_s	events	raw	fire_fraction
per_turn_linear	43	4	1	generation	0.0375378510216251	1	18	1.0
per_turn_linear	43	4	1	replay	0.1155491010285914	1	18	1.0
per_turn_linear	43	4	4	generation	0.09678233100567013	4	66	1.0
per_turn_linear	43	4	4	replay	0.20787874108646065	4	66	1.0
reset_heavy	41	0	1	generation	0.06957195594441146	1	18	1.0
reset_heavy	41	0	1	replay	0.14487515797372907	1	18	1.0
reset_heavy	41	0	4	generation	0.0916612200671807	4	66	1.0
reset_heavy	41	0	4	replay	0.16979122802149504	4	66	1.0
reset_heavy	41	0	8	generation	0.09202168404590338	8	130	1.0
reset_heavy	41	0	8	replay	0.1583655240247026	8	130	1.0
reset_heavy	41	0	24	generation	0.10430725896731019	24	386	1.0
reset_heavy	41	0	24	replay	0.2124327919445932	24	386	1.0
reset_heavy	41	1	4	generation	0.0739695749944076	4	66	1.0
reset_heavy	41	1	4	replay	0.14611270697787404	4	66	1.0
reset_heavy	41	1	8	generation	0.08675510308239609	8	130	1.0
reset_heavy	41	1	8	replay	0.1620891159400344	8	130	1.0
reset_heavy	41	1	24	generation	0.1305153399007395	24	386	1.0
reset_heavy	41	1	24	replay	0.21718573395628482	24	386	1.0
reset_heavy	41	1	1	generation	0.07202482898719609	1	18	1.0
reset_heavy	41	1	1	replay	0.15543014905415475	1	18	1.0
reset_heavy	41	2	8	generation	0.09239008696749806	8	130	1.0
reset_heavy	41	2	8	replay	0.18995677109342068	8	130	1.0
reset_heavy	41	2	24	generation	0.14339035900775343	24	386	1.0
reset_heavy	41	2	24	replay	0.229091176064685	24	386	1.0
reset_heavy	41	2	1	generation	0.07106935302726924	1	18	1.0
reset_heavy	41	2	1	replay	0.13918855704832822	1	18	1.0
reset_heavy	41	2	4	generation	0.08809477998875082	4	66	1.0
reset_heavy	41	2	4	replay	0.16053861798718572	4	66	1.0
reset_heavy	41	3	24	generation	0.12969669804442674	24	386	1.0
reset_heavy	41	3	24	replay	0.19645839207805693	24	386	1.0
reset_heavy	41	3	1	generation	0.07309747498948127	1	18	1.0
reset_heavy	41	3	1	replay	0.1536402989877388	1	18	1.0
reset_heavy	41	3	4	generation	0.07918632600922137	4	66	1.0
reset_heavy	41	3	4	replay	0.19754495611414313	4	66	1.0
reset_heavy	41	3	8	generation	0.07642818405292928	8	130	1.0
reset_heavy	41	3	8	replay	0.153141436050646	8	130	1.0
reset_heavy	41	4	1	generation	0.07539265207014978	1	18	1.0
reset_heavy	41	4	1	replay	0.14685144706163555	1	18	1.0
reset_heavy	41	4	4	generation	0.07552070601377636	4	66	1.0
reset_heavy	41	4	4	replay	0.14956759999040514	4	66	1.0
reset_heavy	41	4	8	generation	0.10890000802464783	8	130	1.0
reset_heavy	41	4	8	replay	0.180952150025405	8	130	1.0
reset_heavy	41	4	24	generation	0.10610266495496035	24	386	1.0
reset_heavy	41	4	24	replay	0.22142728394828737	24	386	1.0
reset_heavy	42	0	4	generation	0.07219655497465283	4	66	1.0
reset_heavy	42	0	4	replay	0.16708828404080123	4	66	1.0
reset_heavy	42	0	8	generation	0.08774950401857495	8	130	1.0
reset_heavy	42	0	8	replay	0.17095131694804877	8	130	1.0
reset_heavy	42	0	24	generation	0.13426207203883678	24	386	1.0
reset_heavy	42	0	24	replay	0.17900239711161703	24	386	1.0
reset_heavy	42	0	1	generation	0.0688430400332436	1	18	1.0
reset_heavy	42	0	1	replay	0.17103381699416786	1	18	1.0
reset_heavy	42	1	8	generation	0.11458399402908981	8	130	1.0
reset_heavy	42	1	8	replay	0.15892065595835447	8	130	1.0
reset_heavy	42	1	24	generation	0.13153752603102475	24	386	1.0
reset_heavy	42	1	24	replay	0.1985317940125242	24	386	1.0
reset_heavy	42	1	1	generation	0.07057663693558425	1	18	1.0
reset_heavy	42	1	1	replay	0.19028963788878173	1	18	1.0
reset_heavy	42	1	4	generation	0.0714263180270791	4	66	1.0
reset_heavy	42	1	4	replay	0.16261564893648028	4	66	1.0
reset_heavy	42	2	24	generation	0.14233229402452707	24	386	1.0
reset_heavy	42	2	24	replay	0.19139433011878282	24	386	1.0
reset_heavy	42	2	1	generation	0.06654050794895738	1	18	1.0
reset_heavy	42	2	1	replay	0.1676617410266772	1	18	1.0
reset_heavy	42	2	4	generation	0.08172068500425667	4	66	1.0
reset_heavy	42	2	4	replay	0.1518303770571947	4	66	1.0
reset_heavy	42	2	8	generation	0.09125394804868847	8	130	1.0
reset_heavy	42	2	8	replay	0.1964400860015303	8	130	1.0
reset_heavy	42	3	1	generation	0.09473451902158558	1	18	1.0
reset_heavy	42	3	1	replay	0.15196411998476833	1	18	1.0
reset_heavy	42	3	4	generation	0.10437409009318799	4	66	1.0
reset_heavy	42	3	4	replay	0.16654496197588742	4	66	1.0
reset_heavy	42	3	8	generation	0.12030130403582007	8	130	1.0
reset_heavy	42	3	8	replay	0.17620503599755466	8	130	1.0
reset_heavy	42	3	24	generation	0.11188207601662725	24	386	1.0
reset_heavy	42	3	24	replay	0.1853520160075277	24	386	1.0
reset_heavy	42	4	4	generation	0.08374477096367627	4	66	1.0
reset_heavy	42	4	4	replay	0.17590789904352278	4	66	1.0
reset_heavy	42	4	8	generation	0.08542410202790052	8	130	1.0
reset_heavy	42	4	8	replay	0.15390443592332304	8	130	1.0
reset_heavy	42	4	24	generation	0.1298131679650396	24	386	1.0
reset_heavy	42	4	24	replay	0.23909624095540494	24	386	1.0
reset_heavy	42	4	1	generation	0.06693720095790923	1	18	1.0
reset_heavy	42	4	1	replay	0.14967668300960213	1	18	1.0
reset_heavy	43	0	8	generation	0.07847069704439491	8	130	1.0
reset_heavy	43	0	8	replay	0.16014114196877927	8	130	1.0
reset_heavy	43	0	24	generation	0.10579903097823262	24	386	1.0
reset_heavy	43	0	24	replay	0.1798013208899647	24	386	1.0
reset_heavy	43	0	1	generation	0.08154272194951773	1	18	1.0
reset_heavy	43	0	1	replay	0.1393947518663481	1	18	1.0
reset_heavy	43	0	4	generation	0.07124807394575328	4	66	1.0
reset_heavy	43	0	4	replay	0.15761450200807303	4	66	1.0
reset_heavy	43	1	24	generation	0.11126428109128028	24	386	1.0
reset_heavy	43	1	24	replay	0.19485261698719114	24	386	1.0
reset_heavy	43	1	1	generation	0.06740951794199646	1	18	1.0
reset_heavy	43	1	1	replay	0.1857722030254081	1	18	1.0
reset_heavy	43	1	4	generation	0.07245173398405313	4	66	1.0
reset_heavy	43	1	4	replay	0.14692790305707604	4	66	1.0
reset_heavy	43	1	8	generation	0.09870429500006139	8	130	1.0
reset_heavy	43	1	8	replay	0.20303796196822077	8	130	1.0
reset_heavy	43	2	1	generation	0.09200005105230957	1	18	1.0
reset_heavy	43	2	1	replay	0.15124770405236632	1	18	1.0
reset_heavy	43	2	4	generation	0.10227281705010682	4	66	1.0
reset_heavy	43	2	4	replay	0.15752129699103534	4	66	1.0
reset_heavy	43	2	8	generation	0.0839383730199188	8	130	1.0
reset_heavy	43	2	8	replay	0.1817521860357374	8	130	1.0
reset_heavy	43	2	24	generation	0.17517289891839027	24	386	1.0
reset_heavy	43	2	24	replay	0.19085079000797123	24	386	1.0
reset_heavy	43	3	4	generation	0.07777857396285981	4	66	1.0
reset_heavy	43	3	4	replay	0.18259680515620857	4	66	1.0
reset_heavy	43	3	8	generation	0.08962488197721541	8	130	1.0
reset_heavy	43	3	8	replay	0.1730392628815025	8	130	1.0
reset_heavy	43	3	24	generation	0.13066954398527741	24	386	1.0
reset_heavy	43	3	24	replay	0.1953154499642551	24	386	1.0
reset_heavy	43	3	1	generation	0.07209330797195435	1	18	1.0
reset_heavy	43	3	1	replay	0.16848085599485785	1	18	1.0
reset_heavy	43	4	8	generation	0.07818807289004326	8	130	1.0
reset_heavy	43	4	8	replay	0.18045300000812858	8	130	1.0
reset_heavy	43	4	24	generation	0.1537350950529799	24	386	1.0
reset_heavy	43	4	24	replay	0.24007680302020162	24	386	1.0
reset_heavy	43	4	1	generation	0.079121331917122	1	18	1.0
reset_heavy	43	4	1	replay	0.15312851290218532	1	18	1.0
reset_heavy	43	4	4	generation	0.0773917940678075	4	66	1.0
reset_heavy	43	4	4	replay	0.18853388109710068	4	66	1.0
context_cliff	41	0	1	generation	0.01725031202659011	1	18	1.0
context_cliff	41	0	1	replay	0.08848999196197838	1	18	1.0
context_cliff	41	0	4	generation	0.024682810995727777	4	66	1.0
context_cliff	41	0	4	replay	0.10289890202693641	4	66	1.0
context_cliff	41	0	8	generation	0.03492515697143972	8	130	1.0
context_cliff	41	0	8	replay	0.10832720203325152	8	130	1.0
context_cliff	41	0	24	generation	0.07721707096789032	8	130	0.3333333333333333
context_cliff	41	0	24	replay	0.12563899590168148	8	130	0.3333333333333333
context_cliff	41	1	4	generation	0.025065699010156095	4	66	1.0
context_cliff	41	1	4	replay	0.09814875898882747	4	66	1.0
context_cliff	41	1	8	generation	0.03857579501345754	8	130	1.0
context_cliff	41	1	8	replay	0.1389587391167879	8	130	1.0
context_cliff	41	1	24	generation	0.053683937061578035	8	130	0.3333333333333333
context_cliff	41	1	24	replay	0.13170901907142252	8	130	0.3333333333333333
context_cliff	41	1	1	generation	0.018571177031844854	1	18	1.0
context_cliff	41	1	1	replay	0.08980542002245784	1	18	1.0
context_cliff	41	2	8	generation	0.03508651303127408	8	130	1.0
context_cliff	41	2	8	replay	0.10538353899028152	8	130	1.0
context_cliff	41	2	24	generation	0.05746742396149784	8	130	0.3333333333333333
context_cliff	41	2	24	replay	0.13971796503756195	8	130	0.3333333333333333
context_cliff	41	2	1	generation	0.017644207924604416	1	18	1.0
context_cliff	41	2	1	replay	0.08844583889003843	1	18	1.0
context_cliff	41	2	4	generation	0.024925996083766222	4	66	1.0
context_cliff	41	2	4	replay	0.09730722103267908	4	66	1.0
context_cliff	41	3	24	generation	0.05465794401243329	8	130	0.3333333333333333
context_cliff	41	3	24	replay	0.12604039092548192	8	130	0.3333333333333333
context_cliff	41	3	1	generation	0.02147299295756966	1	18	1.0
context_cliff	41	3	1	replay	0.09986556298099458	1	18	1.0
context_cliff	41	3	4	generation	0.027440477046184242	4	66	1.0
context_cliff	41	3	4	replay	0.0990508160321042	4	66	1.0
context_cliff	41	3	8	generation	0.03645677806343883	8	130	1.0
context_cliff	41	3	8	replay	0.10297829506453127	8	130	1.0
context_cliff	41	4	1	generation	0.017316658049821854	1	18	1.0
context_cliff	41	4	1	replay	0.0892124871024862	1	18	1.0
context_cliff	41	4	4	generation	0.02802885405253619	4	66	1.0
context_cliff	41	4	4	replay	0.10385350813157856	4	66	1.0
context_cliff	41	4	8	generation	0.03437912790104747	8	130	1.0
context_cliff	41	4	8	replay	0.11694496695417911	8	130	1.0
context_cliff	41	4	24	generation	0.054615658009424806	8	130	0.3333333333333333
context_cliff	41	4	24	replay	0.12620419613085687	8	130	0.3333333333333333
context_cliff	42	0	4	generation	0.0261064600199461	4	66	1.0
context_cliff	42	0	4	replay	0.10109404497779906	4	66	1.0
context_cliff	42	0	8	generation	0.035708302981220186	8	130	1.0
context_cliff	42	0	8	replay	0.14212231803685427	8	130	1.0
context_cliff	42	0	24	generation	0.08101909700781107	8	130	0.3333333333333333
context_cliff	42	0	24	replay	0.1591603880515322	8	130	0.3333333333333333
context_cliff	42	0	1	generation	0.046550865983590484	1	18	1.0
context_cliff	42	0	1	replay	0.09707393299322575	1	18	1.0
context_cliff	42	1	8	generation	0.03559647896327078	8	130	1.0
context_cliff	42	1	8	replay	0.11653958901297301	8	130	1.0
context_cliff	42	1	24	generation	0.0558589780703187	8	130	0.3333333333333333
context_cliff	42	1	24	replay	0.1330707729794085	8	130	0.3333333333333333
context_cliff	42	1	1	generation	0.021668388973921537	1	18	1.0
context_cliff	42	1	1	replay	0.11765886005014181	1	18	1.0
context_cliff	42	1	4	generation	0.03116656094789505	4	66	1.0
context_cliff	42	1	4	replay	0.11964784597512335	4	66	1.0
context_cliff	42	2	24	generation	0.05901041207835078	8	130	0.3333333333333333
context_cliff	42	2	24	replay	0.13628248102031648	8	130	0.3333333333333333
context_cliff	42	2	1	generation	0.01967616903129965	1	18	1.0
context_cliff	42	2	1	replay	0.08973034110385925	1	18	1.0
context_cliff	42	2	4	generation	0.0263049480272457	4	66	1.0
context_cliff	42	2	4	replay	0.10482820600736886	4	66	1.0
context_cliff	42	2	8	generation	0.03562116902321577	8	130	1.0
context_cliff	42	2	8	replay	0.11515972495544702	8	130	1.0
context_cliff	42	3	1	generation	0.025940033025108278	1	18	1.0
context_cliff	42	3	1	replay	0.10006804391741753	1	18	1.0
context_cliff	42	3	4	generation	0.02577512094285339	4	66	1.0
context_cliff	42	3	4	replay	0.13359966385178268	4	66	1.0
context_cliff	42	3	8	generation	0.03438829304650426	8	130	1.0
context_cliff	42	3	8	replay	0.10570398403797299	8	130	1.0
context_cliff	42	3	24	generation	0.060649081016890705	8	130	0.3333333333333333
context_cliff	42	3	24	replay	0.1549546190071851	8	130	0.3333333333333333
context_cliff	42	4	4	generation	0.02941431093495339	4	66	1.0
context_cliff	42	4	4	replay	0.11770433292258531	4	66	1.0
context_cliff	42	4	8	generation	0.03509932791348547	8	130	1.0
context_cliff	42	4	8	replay	0.10934290301520377	8	130	1.0
context_cliff	42	4	24	generation	0.05305286101065576	8	130	0.3333333333333333
context_cliff	42	4	24	replay	0.1357562158955261	8	130	0.3333333333333333
context_cliff	42	4	1	generation	0.04016273398883641	1	18	1.0
context_cliff	42	4	1	replay	0.09456698410212994	1	18	1.0
context_cliff	43	0	8	generation	0.037361151073127985	8	130	1.0
context_cliff	43	0	8	replay	0.12122655496932566	8	130	1.0
context_cliff	43	0	24	generation	0.054151819087564945	8	130	0.3333333333333333
context_cliff	43	0	24	replay	0.12496266898233443	8	130	0.3333333333333333
context_cliff	43	0	1	generation	0.02107902301941067	1	18	1.0
context_cliff	43	0	1	replay	0.0889500129269436	1	18	1.0
context_cliff	43	0	4	generation	0.025412453920580447	4	66	1.0
context_cliff	43	0	4	replay	0.1022858889773488	4	66	1.0
context_cliff	43	1	24	generation	0.06834300502669066	8	130	0.3333333333333333
context_cliff	43	1	24	replay	0.16461909201461822	8	130	0.3333333333333333
context_cliff	43	1	1	generation	0.017769836937077343	1	18	1.0
context_cliff	43	1	1	replay	0.09817079396452755	1	18	1.0
context_cliff	43	1	4	generation	0.02793402597308159	4	66	1.0
context_cliff	43	1	4	replay	0.10980475589167327	4	66	1.0
context_cliff	43	1	8	generation	0.0426972700515762	8	130	1.0
context_cliff	43	1	8	replay	0.1036147610284388	8	130	1.0
context_cliff	43	2	1	generation	0.019369269954040647	1	18	1.0
context_cliff	43	2	1	replay	0.08629784407094121	1	18	1.0
context_cliff	43	2	4	generation	0.023967034998349845	4	66	1.0
context_cliff	43	2	4	replay	0.0982001619413495	4	66	1.0
context_cliff	43	2	8	generation	0.03999446798115969	8	130	1.0
context_cliff	43	2	8	replay	0.10833227098919451	8	130	1.0
context_cliff	43	2	24	generation	0.05366388498805463	8	130	0.3333333333333333
context_cliff	43	2	24	replay	0.1340604069409892	8	130	0.3333333333333333
context_cliff	43	3	4	generation	0.024669423000887036	4	66	1.0
context_cliff	43	3	4	replay	0.10181176906917244	4	66	1.0
context_cliff	43	3	8	generation	0.036156220943666995	8	130	1.0
context_cliff	43	3	8	replay	0.12258395808748901	8	130	1.0
context_cliff	43	3	24	generation	0.053540622000582516	8	130	0.3333333333333333
context_cliff	43	3	24	replay	0.12802342500071973	8	130	0.3333333333333333
context_cliff	43	3	1	generation	0.017254458041861653	1	18	1.0
context_cliff	43	3	1	replay	0.08780939399730414	1	18	1.0
context_cliff	43	4	8	generation	0.049541186075657606	8	130	1.0
context_cliff	43	4	8	replay	0.10383653989993036	8	130	1.0
context_cliff	43	4	24	generation	0.05461788095999509	8	130	0.3333333333333333
context_cliff	43	4	24	replay	0.13567407196387649	8	130	0.3333333333333333
context_cliff	43	4	1	generation	0.018814599025063217	1	18	1.0
context_cliff	43	4	1	replay	0.10430282703600824	1	18	1.0
context_cliff	43	4	4	generation	0.02668433601502329	4	66	1.0
context_cliff	43	4	4	replay	0.09971681493334472	4	66	1.0
